model_path,layer_id,moe_backend,input_tokens,top_k,total_token_expert_rows,active_experts,rows_per_active_expert,active_rows_min,active_rows_max,active_rows_mean,cuda_event_fused_moe_ms,profiler_kernel_sum_ms,prefix_sum_ms,dispatch_expand_ms,gemm1_gate_up_activation_ms,gemm2_down_ms,finalize_combine_ms,gemm1_tflops,gemm2_tflops,gemm_total_tflops,end_to_end_tflops
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,16384,1,16384,1,16384.0,16384,16384,16384.0,7.248932647705078,7.224777999999999,0.012255999999999857,0.18271900000000005,4.4366579999999995,2.2460419999999996,0.16355099999999947,185.86821901350072,183.5748665501358,185.09742787316506,170.63899492011467
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,16384,1,16384,2,8192.0,8192,8192,8192.0,7.263467407226562,7.248323000000001,0.012032000000000152,0.19222300000000017,4.44411,2.2533670000000003,0.16310400000000028,185.55655031761137,182.97812136948838,184.6890375656385,170.2975331062041
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,16384,1,16384,4,4096.0,4096,4096,4096.0,7.2588142395019535,7.252977,0.011968000000000074,0.18774299999999994,4.470615,2.2524430000000004,0.15052800000000024,184.4564385061116,183.05318288453913,183.98630225233816,170.40670010765703
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,16384,1,16384,8,2048.0,2048,2048,2048.0,7.327788543701172,7.331183000000002,0.012127999999999702,0.18720000000000003,4.545717,2.257915000000001,0.14835100000000057,181.40894403061168,182.6095581171124,181.80739070661082,168.8027122877692
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,16384,1,16384,16,1024.0,1024,1024,1024.0,7.4017997741699215,7.402435,0.01225700000000029,0.18630500000000005,4.6024650000000005,2.27904,0.13987199999999939,179.17218725878413,180.91690379106993,179.7500083554397,167.11483949681934
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,16384,1,16384,32,512.0,512,512,512.0,7.543292999267578,7.529527000000001,0.012511999999999718,0.18761599999999998,4.696635,2.313661000000001,0.13673600000000077,175.57969074284037,178.20971197422602,176.44769653777814,163.98018496273477
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,16384,1,16384,64,256.0,256,256,256.0,7.793048095703125,7.791072000000001,0.013375999999999975,0.18476800000000002,4.920161,2.3577920000000003,0.13359900000000016,167.60299527434162,174.87414513918102,169.95858330604773,158.72487453657843
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,32768,1,32768,1,32768.0,32768,32768,32768.0,14.07681884765625,14.313771000000001,0.01779199999999992,0.3778869999999999,8.725663,4.475791999999999,0.3453739999999998,189.01342415630762,184.2430838680618,187.39609857367998,175.7429138834089
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,32768,1,32768,2,16384.0,16384,16384,16384.0,13.832882690429688,13.561805000000001,0.017825000000000046,0.373471,8.261985000000001,4.193104000000001,0.34598300000000015,199.62120987438246,196.6642660978597,198.62573141757557,178.84205467943238
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,32768,1,32768,4,8192.0,8192,8192,8192.0,13.591659545898438,13.562034000000002,0.017824000000000294,0.374336,8.263158,4.189979999999999,0.34672000000000114,199.59287256325,196.81089667062852,198.6568495824908,182.0161220299658
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,32768,1,32768,8,4096.0,4096,4096,4096.0,13.588192749023438,13.576932999999999,0.018015999999999848,0.37427199999999994,8.278287,4.202166999999999,0.33647899999999936,199.22810620892943,196.24011155006454,198.2220488530305,182.06256035584977
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,32768,1,32768,16,2048.0,2048,2048,2048.0,13.586070251464843,13.565937,0.018336000000000012,0.37443200000000004,8.278198,4.1939150000000005,0.3341759999999995,199.23024813661138,196.6262360663008,198.3546142097975,182.0910032633804
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,32768,1,32768,32,1024.0,1024,1024,1024.0,13.627398681640624,13.620038,0.01891100000000006,0.37436699999999995,8.312994,4.21642,0.32512099999999916,198.39632287284218,195.57675014158932,197.44747539637527,181.5387676173985
