backend,status,tokens,component,error,returncode,model_path,layer_id,expert_id,top_k,hidden_size,intermediate_size,active_experts,rows_for_expert,cuda_event_topk1_moe_ms,profiler_kernel_sum_ms,gemm1_gate_up_activation_ms,gemm2_down_ms,gemm_total_tflops,end_to_end_tflops,order,raw_name,kernel,category,label,time_ms
auto,ok,16384,copy_cast,,0,/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,0,1,4096,3072,1,16384,7.25550537109375,7.227235,4.441839,2.245495,184.96916428101244,170.4844139701233,1,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",copy/cast,copy_cast,01. copy_cast :: copy/cast,0.002368000000000052
auto,ok,16384,copy_cast,,0,/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,0,1,4096,3072,1,16384,7.25550537109375,7.227235,4.441839,2.245495,184.96916428101244,170.4844139701233,2,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1} const&)::{lambda(int)#1})",copy/cast,copy_cast,02. copy_cast :: copy/cast,0.002655999999999949
auto,ok,16384,prefix_sum,,0,/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,0,1,4096,3072,1,16384,7.25550537109375,7.227235,4.441839,2.245495,184.96916428101244,170.4844139701233,3,"void tensorrt_llm::kernels::cutlass_kernels::blockExpertPrefixSumKernel<1024>(int const*, int*, int*, long, long, int)",blockExpertPrefixSumKernel,prefix_sum,03. prefix_sum :: blockExpertPrefixSumKernel,0.006816000000000031
auto,ok,16384,prefix_sum,,0,/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,0,1,4096,3072,1,16384,7.25550537109375,7.227235,4.441839,2.245495,184.96916428101244,170.4844139701233,4,"void tensorrt_llm::kernels::cutlass_kernels::globalExpertPrefixSumKernel<1024>(int const*, int*, long*, long, long)",globalExpertPrefixSumKernel,prefix_sum,04. prefix_sum :: globalExpertPrefixSumKernel,0.0016959999999999126
auto,ok,16384,prefix_sum,,0,/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,0,1,4096,3072,1,16384,7.25550537109375,7.227235,4.441839,2.245495,184.96916428101244,170.4844139701233,5,"tensorrt_llm::kernels::cutlass_kernels::mergeExpertPrefixSumKernel(int const*, int const*, int const*, int*, int*, int*, int)",mergeExpertPrefixSumKernel,prefix_sum,05. prefix_sum :: mergeExpertPrefixSumKernel,0.004128000000000157
auto,ok,16384,dispatch_expand,,0,/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,0,1,4096,3072,1,16384,7.25550537109375,7.227235,4.441839,2.245495,184.96916428101244,170.4844139701233,6,"void tensorrt_llm::kernels::cutlass_kernels::expandInputRowsKernel<__nv_bfloat16, __nv_bfloat16, (tensorrt_llm::kernels::cutlass_kernels::TmaWarpSpecializedGroupedGemmInput::FpXBlockScalingType)2, false>(__nv_bfloat16 const*, __nv_bfloat16*, float const*, float*, int const*, long, long, long, float const*, bool, long const*, unsigned char*, unsigned char const*, bool, long, __nv_bfloat16 const*)",expandInputRowsKernel,dispatch_expand,06. dispatch_expand :: expandInputRowsKernel,0.17903899999999998
auto,ok,16384,gemm1_gate_up_activation,,0,/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,0,1,4096,3072,1,16384,7.25550537109375,7.227235,4.441839,2.245495,184.96916428101244,170.4844139701233,7,"void fused_moe::run_global<fused_moe::Fused_Moe_Kernel_sm80<cutlass::bfloat16_t, cutlass::bfloat16_t, cutlass::bfloat16_t, 32, 128, 64, 2, (fused_moe::Activation_Type)3> >(fused_moe::Fused_Moe_Kernel_sm80<cutlass::bfloat16_t, cutlass::bfloat16_t, cutlass::bfloat16_t, 32, 128, 64, 2, (fused_moe::Activation_Type)3>::Params)",fused_moe::run_global<GEMM1_gate_up_activation>,gemm1_gate_up_activation,07. gemm1_gate_up_activation :: fused_moe::run_global<GEMM1_gate_up_activation>,4.441839
auto,ok,16384,gemm2_down,,0,/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,0,1,4096,3072,1,16384,7.25550537109375,7.227235,4.441839,2.245495,184.96916428101244,170.4844139701233,8,_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11threadblock13MmaMultistageINS1_9GemmShapeILi32ELi128ELi64EEENS_9transform11threadblock28PredicatedTileAccessIteratorINS_11MatrixShapeILi32ELi64EEENS_10bfloat16_tENS_6layout8RowMajorELi1ENS8_29PitchLinearWarpRakedThreadMapINS_16PitchLinearShapeILi64ELi32EEELi128ENSH_ILi8ELi4EEELi8EEENS_5ArrayISD_Li8ELb0EEELb0ENSE_9NoPermuteEEENS9_25RegularTileAccessIteratorISC_SD_NSE_37RowMajorTensorOpMultiplicandCrosswiseILi16ELi64EEELi0ESK_Li16EEELNS_4arch14CacheOperation4KindE1ENSA_INSB_ILi64ELi128EEESD_NSE_11ColumnMajorELi0ENSG_INSH_ILi64ELi128EEELi128ESJ_Li8EEESM_Lb0ESN_EENSP_ISW_SD_NSE_40ColumnMajorTensorOpMultiplicandCrosswiseILi16ELi64EEELi1ESZ_Li16EEELSV_1EfSF_NS4_9MmaPolicyINS1_4warp11MmaTensorOpINS6_ILi32ELi32ELi64EEESD_SR_SD_S12_fSF_NS15_17MmaTensorOpPolicyINST_3MmaINS6_ILi16ELi8ELi16EEELi32ESD_SF_SD_SX_fSF_NST_13OpMultiplyAddEEENSB_ILi1ELi1EEEEELi1ELb0EbEENSB_ILi0ELi0EEES1G_Li1EEELi2ELNS1_23SharedMemoryClearOptionE0EbEENS_8epilogue11threadblock8EpilogueIS7_S1F_Li1ENS1L_22PredicatedTileIteratorINS1L_26OutputTileOptimalThreadMapINS1L_15OutputTileShapeILi128ELi8ELi1ELi1ELi1EEENS1P_ILi1ELi4ELi1ELi1ELi4EEELi128ELi8ELi16EEESD_Lb0ESN_Lb0EEENS1K_4warp24FragmentIteratorTensorOpIS17_S1A_fNSL_IfLi4ELb1EEESF_EENS1U_20TileIteratorTensorOpIS17_S1A_fSF_EENS1L_18SharedLoadIteratorINS1S_18CompactedThreadMapEfLi32EEENS1K_6thread17LinearCombinationISD_Li8EffLNS23_9ScaleType4KindE0ELNS_15FloatRoundStyleE2ESD_EENSB_ILi0ELi8EEELi1ELi1EEENS4_37GemmBatchedIdentityThreadblockSwizzleENST_4Sm80ELNS2_17GroupScheduleModeE0EEEEEvNT_6ParamsE,cutlass::Kernel<MoeFCGemm_GEMM2_down>,gemm2_down,08. gemm2_down :: cutlass::Kernel<MoeFCGemm_GEMM2_down>,2.245495
auto,ok,16384,finalize_combine,,0,/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,0,1,4096,3072,1,16384,7.25550537109375,7.227235,4.441839,2.245495,184.96916428101244,170.4844139701233,9,"void tensorrt_llm::kernels::cutlass_kernels::finalizeMoeRoutingKernel<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (tensorrt_llm::kernels::cutlass_kernels::ScaleMode)1>(__nv_bfloat16 const*, __nv_bfloat16*, __nv_bfloat16 const*, float const*, int const*, int const*, long, long, long, int, int)",finalizeMoeRoutingKernel,finalize_combine,09. finalize_combine :: finalizeMoeRoutingKernel,0.16345499999999993
auto,ok,16384,memcpy,,0,/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,0,1,4096,3072,1,16384,7.25550537109375,7.227235,4.441839,2.245495,184.96916428101244,170.4844139701233,10,Memcpy DtoD (Device -> Device),Memcpy DtoD,memcpy,10. memcpy :: Memcpy DtoD,0.1797430000000004
